explained_variance,total_timesteps,fps,policy_entropy,nupdates,value_loss,ep_reward_mean,ep_len_mean
-1.9864981174468994,479000,708,2.0759761333465576,95800,0.00034915254218503833,-2.06,729.22
0.20980101823806763,479500,708,2.069648027420044,95900,0.0009313325281254947,-2.0,729.85
-0.4126173257827759,480000,709,2.068178415298462,96000,0.0006366783636622131,-1.99,729.88
-14.51792049407959,480500,709,2.061155080795288,96100,0.000625837012194097,-1.99,729.88
-1.011922836303711,481000,709,2.035536289215088,96200,0.00018897201516665518,-1.97,733.52
0.7898352891206741,481500,710,2.0742790699005127,96300,8.395953773288056e-05,-1.97,733.52
-4.910567760467529,482000,710,2.055363655090332,96400,0.0017465611454099417,-1.91,736.22
-4.169740200042725,482500,710,2.0589096546173096,96500,0.004274042788892984,-1.93,732.81
-11.591253280639648,483000,710,2.05532169342041,96600,0.0004743686004076153,-1.95,731.9
0.18801385164260864,483500,711,2.054030656814575,96700,0.00014541180280502886,-1.95,731.9
0.8449227809906006,484000,711,2.066941022872925,96800,5.871431858395226e-05,-1.97,733.82
-5.83167028427124,484500,711,2.059771776199341,96900,0.0021658637560904026,-2.0,727.52
-0.4557623863220215,485000,711,2.0737602710723877,97000,0.00011305772932246327,-2.04,719.15
-2.341553211212158,485500,712,2.0578486919403076,97100,0.0002139600255759433,-2.03,718.64
-8.60195255279541,486000,712,2.059558868408203,97200,3.5000914067495614e-05,-2.02,718.46
0.7158951759338379,486500,712,2.0654749870300293,97300,0.0001920311915455386,-2.01,718.15
0.8529186099767685,487000,712,2.0455679893493652,97400,2.0560040866257623e-05,-2.01,718.15
-71.34065246582031,487500,712,2.063690423965454,97500,0.00010356020356994122,-1.99,719.46
-0.050710082054138184,488000,713,2.0706467628479004,97600,0.0004691532230935991,-1.93,719.02
0.22633999586105347,488500,713,2.0560994148254395,97700,0.0001605888392077759,-1.93,719.02
0.9861551551148295,489000,713,2.0531203746795654,97800,1.849541831688839e-06,-1.88,717.94
-20.72235870361328,489500,713,2.0354318618774414,97900,0.0007417320739477873,-1.92,714.15
-0.18297553062438965,490000,713,2.05678653717041,98000,0.00040576831088401377,-1.92,714.15
0.2693413496017456,490500,713,2.0203607082366943,98100,0.2271251678466797,-1.96,715.1
0.899269200861454,491000,714,2.067049741744995,98200,4.839377197640715e-06,-1.96,715.1
-1.9720325469970703,491500,714,2.0388801097869873,98300,0.0002938094548881054,-1.94,717.89
0.720352977514267,492000,714,2.0360536575317383,98400,3.260196535848081e-05,-1.97,713.2
-1342.7694091796875,492500,714,2.0712547302246094,98500,0.0009816933888942003,-2.0,709.46
0.9283601865172386,493000,714,2.043266773223877,98600,8.367560440092348e-06,-2.0,709.46
